count,Region,Province,Crop,Category,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note,Seed_kgha,crop_type_dfe,N_min,P_min,K_min,N_orga,P_orga,K_orga,N_tot,P_tot,K_tot,kgNH3N_ha,kgNOxN_ha,kgNO3N_ha,kgN2ON_ha_direct,kgN2ON_ha_indirect,kgN2ON_ha,kgCO2urea_ha,kgCO2limestone_ha,kgCO2_fert_ha,soil_erosion_tha,kgP_ha_erosion,kgP_ha_runoff,kgP_ha_leaching,kgP_ha_drainage,kgP_total,Cd_kg_ha,Cu_kg_ha,Zn_kg_ha,Pb_kg_ha,Ni_kg_ha,Cr_kg_ha,Hg_kg_ha,trace_metals_from_organic,SOC_mean_rate_kgChayr,SOC_mean_rate_kgChayr__minValue,SOC_mean_rate_kgChayr__maxValue,SOC_source
37,(all regions confounded),(all provinces confounded),ABACÁ,permanent,6.0,2881.35593220339,,sin riego,TONELADA METR.,,,,0.0,150.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,22.5,9.819,18.67725,0.8057370745454,0.3409855533025903,0.8862300696762637,23.3057370745454,10.159985553302592,19.56348006967626,0.5047623796064066,1.3184911454029942,7.224778493109074,0.116528685372727,0.0930003738216724,0.2095290591943994,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1793388060516453,0.0735002405654999,0.4410014433929999,1.7134581544101453,3.313984114783486e-05,0.0070844277220073,0.0213284432851958,0.0007841601029024,0.0008877721251037,0.0014924116380732,4.2786021298288e-06,True,0.0,0.0,0.0,
6,(all regions confounded),(all provinces confounded),ACHIOTE,permanent,0.7,795.454545454546,,sin riego,QUINTAL,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.175,0.0735,0.4409999999999999,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
2,(all regions confounded),(all provinces confounded),ALCACHOFA,permanent,3.85,12467.532467532466,5625.0,goteo,CAJA,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.85,176.7243,0.0,0.0,0.0,176.7243,0.0,0.4051948051948052,0.935064935064935,0.3116883116883117,0.92987012987013,0.0,0.0,0.0,0.0,0.0,5625.0,well,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,26.508645,11.568372678,22.0048262145,0.0,0.0,0.0,26.508645,11.568372678,22.0048262145,0.5244813379852941,1.5025625074121547,8.217679949999999,0.132543225,0.1047091477499999,0.2372523727499999,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.180061163046625,0.0735,0.4409999999999999,1.714178827446625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
13,(all regions confounded),(all provinces confounded),ARÁNDANO,permanent,1.15,8386.363636363625,11250.0,goteo,UNIDAD,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,200.0,125.45666666666666,116.5,345.0,190.20666666666665,0.0,2.1333333333333333,6.410256410256411,7.711538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,72.65526666666668,35.97027,196.7337,98.52885,43.180830917280005,106.02603461016002,171.18411666666668,79.15110091728,302.75973461016,8.724815482490198,9.394385677171943,53.06707616666667,0.8559205833333334,0.7914560153333333,1.6473765986666669,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1908422405312499,0.07351262968875,0.4410757781325,1.7250483127525,0.00445998,0.92341998,2.563671978,0.1117115999999999,0.121736664,0.2066642319,0.00045820698,True,0.0,0.0,0.0,
13,(all regions confounded),(all provinces confounded),BABACO,permanent,0.18,28800.0,11250.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,524.1511831111111,0.0,0.0,503.9915222222222,503.9915222222222,2834.9523125,10.0,,8.055555555555555,1.0,2834.9523125,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,78.62267746666666,34.31093644645333,316.28270212308,39.23574000500001,13.918111764137969,48.54687299508211,117.85841747166668,48.2290482105913,364.8295751181621,4.457494288458825,6.557531644942019,36.53610941621667,0.5892920873583334,0.5114465648189334,1.1007386521772666,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.202189382488944,0.0735,0.4409999999999999,1.736307046888944,0.0006544657510545,0.177672131329,0.7973473476045,0.006851694185798,0.01465194073574,0.0213390262504649,0.00034155505461,True,0.0,0.0,0.0,
31,(all regions confounded),(all provinces confounded),BAMBÚ O CAÑA GUADUA,permanent,1.74,6818.1818181818,,sin riego,LIBRA,TALLO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.175,0.0735,0.4409999999999999,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
1,(all regions confounded),(all provinces confounded),CABUYA,permanent,,0.0,,sin riego,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.175,0.0735,0.4409999999999999,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
1,(all regions confounded),(all provinces confounded),CARDAMOMO,permanent,,0.0,,sin riego,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.175,0.0735,0.4409999999999999,1.7091176644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
8,(all regions confounded),(all provinces confounded),CAUCHO,permanent,12.49,7004.0053404539385,,sin riego,UNIDAD,,,,0.0,160.41666666666666,125.20868113522538,30.05008347245409,50.08347245409015,0.0,0.0,,2.3862520868113526,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,66.63345158597663,16.402110392320534,44.91885554048413,0.0,0.0,0.0,66.63345158597663,16.402110392320534,44.91885554048413,1.3183624377025436,3.776916024661067,20.65636999165276,0.3331672579298831,0.2632021337646076,0.5963693916944908,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1821759232966402,0.0735,0.4409999999999999,1.71629358769664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,
7,(all regions confounded),(all provinces confounded),CAÑA DE AZÚCAR /BIOCOMBUSTIBLE,permanent,5.0,41014.79915433396,,sin riego,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,23.69644350097466,47.7465652631579,0.0,279.06976744186045,66.3793712195122,0.0,7.317073170731708,4.803333333333333,0.9756097560975612,5.44,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,0.0,fruit,19.788298714619888,1.5511691915738013,141.94405103461685,0.0,0.0,0.0,19.788298714619888,1.5511691915738013,141.94405103461685,0.3915173101566117,1.121639968171137,6.134372601532165,0.0989414935730994,0.0781637799227485,0.177105273495848,0.0,0.0,0.0,2.8851659999999995,1.0196176644,0.1756786365213135,0.0735,0.4409999999999999,1.709796300921313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,450.0,150.0,800.0,sugarcane_fao_modelled
